Process edges: 69
NFCORE_AMPLISEQ:AMPLISEQ:BARRNAPSUMMARY -> NFCORE_AMPLISEQ:AMPLISEQ:FILTER_SSU
NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_SUMMARY_MERGE -> NFCORE_AMPLISEQ:AMPLISEQ:MERGE_STATS_STD
NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_SUMMARY_STD -> NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_SUMMARY_MERGE
NFCORE_AMPLISEQ:AMPLISEQ:DADA2_DENOISING -> NFCORE_AMPLISEQ:AMPLISEQ:DADA2_RMCHIMERA
NFCORE_AMPLISEQ:AMPLISEQ:DADA2_MERGE -> NFCORE_AMPLISEQ:AMPLISEQ:FILTER_CLUSTERS
NFCORE_AMPLISEQ:AMPLISEQ:DADA2_MERGE -> NFCORE_AMPLISEQ:AMPLISEQ:MERGE_STATS_STD
NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:DADA2_QUALITY1 -> NFCORE_AMPLISEQ:AMPLISEQ:DADA2_PREPROCESSING:TRUNCLEN
NFCORE_AMPLISEQ:AMPLISEQ:DADA2_TAXONOMY_WF:DADA2_TAXONOMY -> NFCORE_AMPLISEQ:AMPLISEQ:DADA2_TAXONOMY_WF:DADA2_ADDSPECIES
NFCORE_AMPLISEQ:AMPLISEQ:DECONTAM -> NFCORE_AMPLISEQ:AMPLISEQ:MERGE_STATS_DECONTAM
NFCORE_AMPLISEQ:AMPLISEQ:FILTER_CLUSTERS -> NFCORE_AMPLISEQ:AMPLISEQ:DECONTAM
NFCORE_AMPLISEQ:AMPLISEQ:FILTER_CLUSTERS -> NFCORE_AMPLISEQ:AMPLISEQ:FILTER_SEQUENCES_ABUNDANCES
NFCORE_AMPLISEQ:AMPLISEQ:FILTER_LEN_ASV -> NFCORE_AMPLISEQ:AMPLISEQ:FILTER_SAMPLES
NFCORE_AMPLISEQ:AMPLISEQ:FILTER_LEN_ASV -> NFCORE_AMPLISEQ:AMPLISEQ:MERGE_STATS_FILTERLENASV
NFCORE_AMPLISEQ:AMPLISEQ:FILTER_LEN_ASV -> NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_INSEQ
NFCORE_AMPLISEQ:AMPLISEQ:FILTER_LEN_ASV -> NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_TAXONOMY:QIIME2_INSEQ
NFCORE_AMPLISEQ:AMPLISEQ:FILTER_SAMPLES -> NFCORE_AMPLISEQ:AMPLISEQ:FILTER_STATS
NFCORE_AMPLISEQ:AMPLISEQ:FILTER_SAMPLES -> NFCORE_AMPLISEQ:AMPLISEQ:METADATA_ALL
NFCORE_AMPLISEQ:AMPLISEQ:FILTER_SAMPLES -> NFCORE_AMPLISEQ:AMPLISEQ:METADATA_PAIRWISE
NFCORE_AMPLISEQ:AMPLISEQ:FILTER_SAMPLES -> NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_DIVERSITY:QIIME2_ALPHARAREFACTION
